,File_Name,penguin_ID,Video_ID,Date,Time,Frame_No,Label
17,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_24.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,24,nonprey
18,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_25.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,25,nonprey
19,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_26.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,26,nonprey
20,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_27.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,27,nonprey
21,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_28.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,28,nonprey
22,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_08_29.png,GI-LP0238,MOVI0006,2016-10-20,07:50:08,29,nonprey
30,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_30.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,30,nonprey
31,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_31.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,31,nonprey
32,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_32.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,32,nonprey
33,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_33.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,33,nonprey
34,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_34.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,34,nonprey
35,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_35.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,35,nonprey
36,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_36.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,36,nonprey
37,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_37.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,37,nonprey
38,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_38.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,38,nonprey
39,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_39.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,39,nonprey
40,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_40.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,40,nonprey
41,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_41.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,41,nonprey
42,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_42.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,42,nonprey
43,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_43.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,43,nonprey
44,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_44.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,44,nonprey
45,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_45.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,45,nonprey
46,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_46.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,46,nonprey
47,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_47.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,47,nonprey
48,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_48.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,48,nonprey
49,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_49.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,49,nonprey
50,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_50.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,50,nonprey
51,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_51.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,51,nonprey
52,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_52.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,52,nonprey
53,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_53.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,53,nonprey
54,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_54.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,54,nonprey
55,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_55.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,55,nonprey
56,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_56.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,56,nonprey
57,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_57.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,57,nonprey
58,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_58.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,58,nonprey
59,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_09_59.png,GI-LP0238,MOVI0006,2016-10-20,07:50:09,59,nonprey
60,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_60.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,60,nonprey
61,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_61.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,61,nonprey
62,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_62.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,62,nonprey
63,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_63.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,63,nonprey
64,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_64.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,64,nonprey
65,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_65.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,65,nonprey
66,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_66.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,66,nonprey
67,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_67.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,67,nonprey
68,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_68.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,68,nonprey
69,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_69.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,69,nonprey
70,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_70.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,70,nonprey
71,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_71.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,71,nonprey
72,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_72.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,72,nonprey
73,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_73.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,73,nonprey
74,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_74.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,74,nonprey
75,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_75.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,75,nonprey
76,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_76.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,76,nonprey
77,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_77.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,77,nonprey
78,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_78.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,78,nonprey
79,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_79.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,79,nonprey
80,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_80.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,80,nonprey
81,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_81.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,81,nonprey
82,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_82.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,82,nonprey
83,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_83.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,83,nonprey
84,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_84.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,84,nonprey
85,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_85.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,85,nonprey
86,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_86.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,86,nonprey
87,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_87.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,87,nonprey
88,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_88.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,88,nonprey
89,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_10_89.png,GI-LP0238,MOVI0006,2016-10-20,07:50:10,89,nonprey
110,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_90.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,90,nonprey
111,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_91.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,91,nonprey
112,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_92.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,92,nonprey
113,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_93.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,93,nonprey
114,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_94.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,94,nonprey
115,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_95.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,95,nonprey
116,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_96.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,96,nonprey
117,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_97.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,97,nonprey
118,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_98.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,98,nonprey
119,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_99.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,99,nonprey
90,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_100.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,100,nonprey
91,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_101.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,101,nonprey
92,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_102.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,102,nonprey
93,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_103.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,103,nonprey
94,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_104.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,104,nonprey
95,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_105.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,105,nonprey
96,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_106.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,106,nonprey
97,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_107.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,107,nonprey
98,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_108.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,108,nonprey
99,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_109.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,109,nonprey
100,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_110.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,110,nonprey
101,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_111.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,111,nonprey
102,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_112.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,112,nonprey
103,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_113.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,113,nonprey
104,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_114.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,114,nonprey
105,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_115.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,115,nonprey
106,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_116.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,116,nonprey
107,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_117.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,117,nonprey
108,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_118.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,118,nonprey
109,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_11_119.png,GI-LP0238,MOVI0006,2016-10-20,07:50:11,119,nonprey
120,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_120.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,120,nonprey
121,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_121.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,121,nonprey
122,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_122.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,122,nonprey
123,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_123.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,123,nonprey
124,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_124.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,124,nonprey
125,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_125.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,125,nonprey
126,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_126.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,126,nonprey
127,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_127.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,127,nonprey
128,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_128.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,128,nonprey
129,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_129.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,129,nonprey
130,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_130.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,130,nonprey
131,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_131.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,131,nonprey
132,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_132.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,132,nonprey
133,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_133.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,133,nonprey
134,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_134.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,134,nonprey
135,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_135.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,135,nonprey
136,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_136.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,136,nonprey
137,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_137.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,137,nonprey
138,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_138.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,138,nonprey
139,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_139.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,139,nonprey
140,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_140.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,140,nonprey
141,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_141.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,141,nonprey
142,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_142.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,142,nonprey
143,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_143.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,143,nonprey
144,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_144.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,144,nonprey
145,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_145.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,145,nonprey
146,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_146.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,146,nonprey
147,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_147.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,147,nonprey
148,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_148.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,148,nonprey
149,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_12_149.png,GI-LP0238,MOVI0006,2016-10-20,07:50:12,149,nonprey
150,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_150.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,150,nonprey
151,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_151.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,151,nonprey
152,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_152.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,152,nonprey
153,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_153.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,153,nonprey
154,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_154.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,154,nonprey
155,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_155.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,155,nonprey
156,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_156.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,156,nonprey
157,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_157.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,157,nonprey
158,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_158.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,158,nonprey
159,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_159.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,159,nonprey
160,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_160.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,160,nonprey
161,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_161.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,161,nonprey
162,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_162.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,162,nonprey
163,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_163.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,163,nonprey
164,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_164.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,164,nonprey
165,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_165.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,165,nonprey
166,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_166.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,166,nonprey
167,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_167.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,167,nonprey
168,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_168.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,168,nonprey
169,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_169.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,169,nonprey
170,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_170.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,170,nonprey
171,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_171.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,171,nonprey
172,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_172.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,172,nonprey
173,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_173.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,173,nonprey
174,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_174.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,174,nonprey
175,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_175.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,175,nonprey
176,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_176.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,176,nonprey
177,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_177.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,177,nonprey
178,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_178.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,178,nonprey
179,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_13_179.png,GI-LP0238,MOVI0006,2016-10-20,07:50:13,179,nonprey
180,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_14_180.png,GI-LP0238,MOVI0006,2016-10-20,07:50:14,180,nonprey
181,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_14_181.png,GI-LP0238,MOVI0006,2016-10-20,07:50:14,181,nonprey
182,GI-LP0238_7_MOVI0006.avi_image_2016-10-20_07_50_14_182.png,GI-LP0238,MOVI0006,2016-10-20,07:50:14,182,nonprey
